,TV Show Title,TV Show Year,TV Show Genres,TV Show IMDB Rating,TV Show Age Rating,TV Show Production Countries,TV Show Stream Services,TV Show Runtime
0,Poacher,2023,"Crime, Drama",7.7,,"United States, India",Amazon Prime Video,00:47:00
1,Farzi,2023,"Crime, Drama, Mystery & Thriller",8.4,,India,Amazon Prime Video,00:56:00
2,Halo,2022,"Action & Adventure, Science-Fiction, Mystery & Thriller, War & Military",7.3,,United States,Jio Cinema,00:52:00
3,Reacher,2022,"Mystery & Thriller, Action & Adventure, Crime, Drama",8.1,A,United States,Amazon Prime Video,00:48:00
4,Mashle: Magic and Muscles,2023,"Comedy, Fantasy, Animation, Action & Adventure, Science-Fiction",7.6,,Japan,Crunchyroll,00:23:00
5,The Great Indian Murder,2022,"Crime, Mystery & Thriller",6.8,,India,Hotstar,00:45:00
6,House of the Dragon,2022,"Science-Fiction, Drama, Action & Adventure, Fantasy, Romance",8.4,A,United States,Jio Cinema,01:02:00
7,The Bear,2022,"Drama, Comedy",8.6,,United States,Hotstar,00:34:00
8,The Last of Us,2023,"Drama, Mystery & Thriller, Action & Adventure, Horror, Science-Fiction",8.7,A,United States,Jio Cinema,00:58:00
